3284 27562
3 1 0.111111
3 5 0.111111
3 6 0.111111
3 30 0.111111
3 41 0.052632
3 666 0.111111
3 882 0.111111
3 2591 0.111111
3 3128 0.071429
1 3 0.111111
1 5 0.111111
1 6 0.111111
1 30 0.111111
1 41 0.052632
1 666 0.111111
1 882 0.111111
1 2591 0.111111
1 3128 0.071429
5 1 0.111111
5 3 0.111111
5 6 0.111111
5 30 0.111111
5 41 0.052632
5 666 0.111111
5 882 0.111111
5 2591 0.111111
5 3128 0.071429
6 1 0.111111
6 3 0.111111
6 5 0.111111
6 30 0.111111
6 41 0.052632
6 666 0.111111
6 882 0.111111
6 2591 0.111111
6 3128 0.071429
30 1 0.111111
30 3 0.111111
30 5 0.111111
30 6 0.111111
30 41 0.052632
30 666 0.111111
30 882 0.111111
30 2591 0.111111
30 3128 0.071429
41 1 0.111111
41 3 0.111111
41 5 0.111111
41 6 0.111111
41 30 0.111111
41 666 0.111111
41 881 0.100000
41 882 0.111111
41 1075 0.111111
41 1080 0.111111
41 1569 0.111111
41 2358 0.100000
41 2425 0.100000
41 2591 0.111111
41 2724 0.100000
41 2841 0.100000
41 2879 0.111111
41 2944 0.166667
41 3128 0.071429
666 1 0.111111
666 3 0.111111
666 5 0.111111
666 6 0.111111
666 30 0.111111
666 41 0.052632
666 882 0.111111
666 2591 0.111111
666 3128 0.071429
882 1 0.111111
882 3 0.111111
882 5 0.111111
882 6 0.111111
882 30 0.111111
882 41 0.052632
882 666 0.111111
882 2591 0.111111
882 3128 0.071429
2591 1 0.111111
2591 3 0.111111
2591 5 0.111111
2591 6 0.111111
2591 30 0.111111
2591 41 0.052632
2591 666 0.111111
2591 882 0.111111
2591 3128 0.071429
3128 1 0.111111
3128 3 0.111111
3128 5 0.111111
3128 6 0.111111
3128 30 0.111111
3128 41 0.052632
3128 666 0.111111
3128 799 0.200000
3128 882 0.111111
3128 1142 0.100000
3128 2139 0.200000
3128 2173 0.200000
3128 2591 0.111111
3128 2877 0.200000
600 2 0.333333
600 305 0.500000
600 490 1.000000
600 854 0.333333
600 2101 0.055556
600 2381 1.000000
600 2417 0.142857
600 2587 0.250000
600 2643 0.333333
600 2861 0.200000
2 600 0.100000
2 2101 0.055556
2 2417 0.142857
2101 2 0.333333
2101 67 0.333333
2101 525 0.500000
2101 526 1.000000
2101 600 0.100000
2101 943 0.333333
2101 1343 0.200000
2101 1713 0.500000
2101 1959 0.166667
2101 2016 1.000000
2101 2115 0.500000
2101 2212 0.500000
2101 2393 0.500000
2101 2417 0.142857
2101 2858 1.000000
2101 2990 0.200000
2101 3067 0.142857
2101 3179 0.500000
2417 2 0.333333
2417 600 0.100000
2417 1343 0.200000
2417 1959 0.166667
2417 2101 0.055556
2417 2990 0.200000
2417 3067 0.142857
1082 4 0.500000
