2843 427750
1 5 0.166667
5 1 1.000000
5 4 0.090909
5 8 0.083333
5 10 0.052632
5 11 0.083333
5 20 0.071429
3 18 0.111111
18 3 1.000000
18 17 0.032258
18 19 0.024390
18 21 0.050000
18 23 0.023256
18 33 0.015625
18 44 0.030303
18 52 0.090909
18 72 0.055556
4 5 0.166667
4 8 0.083333
4 10 0.052632
4 11 0.083333
4 12 0.047619
4 13 0.083333
4 14 0.035714
4 15 0.040000
4 16 0.066667
4 26 0.034483
4 27 0.047619
8 4 0.090909
8 5 0.166667
8 6 0.200000
8 10 0.052632
8 11 0.083333
8 15 0.040000
8 20 0.071429
8 25 0.031250
8 27 0.047619
8 31 0.045455
8 34 0.058824
8 32 0.055556
10 4 0.090909
10 5 0.166667
10 8 0.083333
10 11 0.083333
10 12 0.047619
10 13 0.083333
10 14 0.035714
10 15 0.040000
10 16 0.066667
10 17 0.032258
10 19 0.024390
10 20 0.071429
10 25 0.031250
10 26 0.034483
10 27 0.047619
10 30 0.052632
10 31 0.045455
10 34 0.058824
10 45 0.020000
11 4 0.090909
11 5 0.166667
11 8 0.083333
11 10 0.052632
11 15 0.040000
11 20 0.071429
11 25 0.031250
11 27 0.047619
11 30 0.052632
11 31 0.045455
11 34 0.058824
11 32 0.055556
12 4 0.090909
12 10 0.052632
12 13 0.083333
12 14 0.035714
12 15 0.040000
12 16 0.066667
12 17 0.032258
12 19 0.024390
12 22 0.027778
12 23 0.023256
12 25 0.031250
12 26 0.034483
12 28 0.016129
12 33 0.015625
12 35 0.026316
12 36 0.013514
12 37 0.100000
12 39 0.014925
12 40 0.011364
12 43 0.038462
12 64 0.047619
13 4 0.090909
13 6 0.200000
13 10 0.052632
13 12 0.047619
13 14 0.035714
13 16 0.066667
13 17 0.032258
13 19 0.024390
13 22 0.027778
13 24 0.083333
13 26 0.034483
13 35 0.026316
14 4 0.090909
14 10 0.052632
14 12 0.047619
14 13 0.083333
14 15 0.040000
14 16 0.066667
14 17 0.032258
14 19 0.024390
14 21 0.050000
14 22 0.027778
14 23 0.023256
14 25 0.031250
14 26 0.034483
14 27 0.047619
14 28 0.016129
14 29 0.021277
14 30 0.052632
14 33 0.015625
14 35 0.026316
14 36 0.013514
14 37 0.100000
14 39 0.014925
14 40 0.011364
14 43 0.038462
14 45 0.020000
14 47 0.010417
14 50 0.010870
14 64 0.047619
15 4 0.090909
15 8 0.083333
15 10 0.052632
15 11 0.083333
15 12 0.047619
15 14 0.035714
15 17 0.032258
15 19 0.024390
