5701 42320
5546 1194 0.062500
5546 3817 0.100000
5546 2041 0.125000
5546 5589 0.142857
5546 5072 0.111111
5546 5275 0.250000
5546 3316 1.000000
5546 6373 0.142857
5546 2120 0.142857
1194 3688 0.250000
1194 1673 0.004386
1194 4771 0.071429
1194 5849 0.021277
1194 1791 0.090909
1194 5072 0.111111
1194 4270 0.052632
3817 2041 0.125000
3817 4270 0.052632
2041 1179 0.023256
2041 1975 0.015873
2041 3506 0.250000
2041 2550 0.006579
2041 2392 1.000000
2041 5840 0.125000
2041 5214 0.025641
2041 5912 0.004608
2041 4270 0.052632
1358 1496 0.011236
1358 2492 0.004762
1358 1826 0.058824
1496 114 0.022727
1496 2292 0.010204
1496 1016 0.016393
1496 2492 0.004762
1496 3779 0.008929
1496 1565 0.021277
1496 3275 0.009804
1496 5976 0.052632
1496 6231 0.007407
1496 1966 0.009009
1496 2324 0.032258
1496 5078 0.014085
1496 3194 0.008850
1496 295 0.041667
5589 4828 0.166667
1516 4543 0.500000
1516 954 0.045455
4543 2510 0.500000
4543 998 0.200000
4543 2291 0.200000
4543 5759 0.200000
4543 1841 0.038462
4543 4099 0.250000
4543 1259 0.040000
4543 4679 0.111111
4543 2045 0.100000
4543 3703 0.142857
4543 2555 0.015625
4543 1796 0.043478
4543 4461 1.000000
4543 1975 0.015873
4543 2155 0.125000
4543 2820 0.024390
4543 3259 0.076923
4543 2303 0.055556
4543 5312 0.062500
4543 5893 0.058824
4543 3564 0.010526
4543 1636 0.250000
4543 4494 0.111111
4543 49 0.250000
4543 5683 0.500000
4543 4902 0.022222
4543 5252 0.066667
4543 1281 0.111111
4543 5679 0.142857
4543 2993 0.250000
4543 258 1.000000
4543 6303 0.012658
4543 5013 0.017544
4543 4424 0.029412
4543 3203 0.013333
4543 2743 0.500000
4543 3912 0.076923
4543 5968 0.250000
4543 1603 0.062500
4543 2484 0.041667
4543 520 0.166667
4543 2952 0.023810
4543 2596 0.250000
4543 2573 0.076923
4543 876 0.333333
4543 4636 0.500000
4543 4308 0.166667
4543 517 0.111111
4543 4755 0.500000
4543 802 0.014493
4543 570 0.041667
4543 786 0.500000
4543 3069 0.500000
4543 5151 0.200000
4543 3768 0.500000
4543 696 0.333333
4543 2627 0.500000
4543 3689 0.037037
4543 3727 0.200000
4543 5639 0.047619
4543 1965 1.000000
4543 148 1.000000
4543 5205 0.166667
4543 498 0.062500
954 2786 0.040000
1556 5638 0.200000
5638 6376 0.006024
5638 4947 0.030303
5638 1372 0.083333
5638 769 0.066667
5638 4424 0.029412
5638 5912 0.004608
2575 6387 0.030303
2575 3054 0.076923
2575 140 0.142857
2575 952 0.021739
2575 1864 0.055556
2575 4742 0.043478
2575 4796 0.055556
2575 3685 0.142857
2575 1510 1.000000
2575 6141 0.062500
2575 6376 0.006024
2575 4594 0.032258
2575 4101 0.333333
2575 288 0.038462
2575 1429 0.047619
2575 3852 0.008000
2575 5568 0.076923
2575 5034 0.200000
2575 1845 0.045455
2575 1303 0.142857
2575 3674 0.166667
2575 907 0.016949
2575 6313 0.250000
2575 458 0.009901
2575 5093 0.045455
2575 3281 0.142857
2575 1377 0.050000
2575 3409 0.066667
2575 2672 0.052632
2575 1768 0.090909
2575 4839 0.031250
2575 5397 0.047619
2575 355 0.100000
2575 5122 0.071429
2575 2410 1.000000
2575 3701 0.071429
2575 4240 0.004854
2575 6140 0.142857
2575 4814 0.009434
2575 6018 0.043478
2575 641 0.017241
2575 1126 0.040000
2575 4667 0.125000
2575 4527 0.023256
2575 2444 0.005525
2575 3738 0.005208
2575 5977 0.166667
2575 4057 0.066667
2575 1324 0.038462
2575 4597 0.008547
2575 1534 0.052632
2575 3173 0.125000
2575 1822 0.007692
2575 3528 0.006757
2575 875 0.052632
2575 1309 0.200000
2575 388 0.037037
2575 5599 0.012500
2575 3308 0.250000
2575 1618 0.028571
2575 1529 0.250000
2575 4228 1.000000
2575 4274 0.027027
2575 3394 0.200000
2575 4829 0.250000
2575 873 0.111111
2575 5967 0.100000
2575 6302 0.037037
2575 3050 0.041667
2575 2110 1.000000
2575 2479 0.090909
2575 2109 0.038462
2575 3082 0.142857
2575 3864 0.250000
2575 540 0.111111
2575 3479 0.166667
2575 1053 0.166667
2575 4105 0.010101
2575 2789 0.250000
2575 684 0.111111
2575 4044 0.333333
2575 5732 0.027778
2575 2473 0.062500
2575 6347 0.017544
2575 380 0.008621
2575 4006 0.009709
2575 902 0.055556
2575 5788 0.013514
2575 4349 0.166667
2575 5107 0.142857
2575 4658 0.500000
2575 632 0.021739
2575 3895 0.009174
2575 1983 0.038462
2575 820 0.100000
2575 5021 0.142857
2575 4733 0.090909
2575 6333 0.022727
2575 1748 0.200000
2575 1332 0.035714
2575 2661 0.166667
2575 2861 0.058824
2575 5853 0.026316
2575 6066 0.200000
2575 3689 0.037037
2575 6032 0.047619
2575 4336 0.043478
2575 5075 0.058824
2575 2030 0.500000
2575 5849 0.021277
2575 1467 0.041667
2575 762 0.050000
2575 1331 0.200000
2575 4064 0.015873
2575 4170 0.125000
2575 6365 0.015625
2575 6071 0.333333
2575 6045 0.018519
2575 1479 0.250000
2575 4407 0.015152
2575 1435 0.016949
2575 5139 0.142857
2575 2612 0.037037
2575 1570 0.043478
2575 5199 1.000000
2575 1930 0.200000
2575 1527 0.038462
2575 365 0.090909
2575 3639 0.013699
2575 1894 0.062500
2575 2403 0.021739
2575 2424 0.041667
2575 776 0.029412
2575 4973 0.019231
2575 5757 0.019608
6387 4210 1.000000
6387 175 0.058824
6387 2109 0.038462
6387 2698 0.071429
6387 4626 0.142857
6387 4604 0.142857
6387 4341 0.250000
6387 2050 0.125000
6387 3769 0.030303
6387 1634 0.200000
6387 224 0.055556
6387 4527 0.023256
6387 3118 0.066667
6387 1822 0.007692
6387 3885 0.058824
6387 3528 0.006757
6387 3428 0.018868
3054 2532 0.013158
3054 4742 0.043478
3054 5846 0.026316
3054 3038 0.083333
3054 6166 0.058824
3054 4473 0.014493
3054 4336 0.043478
