2035 6712
357 1 1.000000
357 20 0.200000
357 42 1.000000
357 81 0.250000
357 88 0.500000
357 93 0.500000
357 156 0.500000
357 158 0.500000
357 245 0.500000
357 336 0.333333
357 354 0.500000
357 363 0.333333
357 431 0.076923
357 478 0.200000
357 500 0.250000
357 514 1.000000
357 664 1.000000
357 1102 1.000000
1 357 0.055556
106 2 0.200000
106 125 0.142857
106 249 0.083333
2 106 0.333333
2 289 0.142857
2 339 0.500000
2 565 1.000000
2 582 0.500000
289 2 0.200000
289 31 0.125000
289 170 0.166667
289 179 0.333333
289 235 0.028571
289 410 0.047619
289 614 0.062500
339 2 0.200000
339 291 0.071429
565 2 0.200000
582 2 0.200000
582 410 0.047619
515 3 1.000000
515 21 1.000000
515 222 1.000000
515 312 0.200000
3 515 0.250000
143 4 1.000000
143 6 0.500000
143 30 0.333333
143 48 0.250000
143 116 0.333333
143 119 0.142857
143 137 0.200000
143 138 0.250000
143 146 0.200000
143 172 1.000000
143 183 0.500000
143 207 0.250000
143 209 0.083333
143 228 0.100000
143 258 0.500000
143 269 0.500000
143 282 0.166667
143 287 0.333333
143 292 0.076923
143 307 0.500000
143 314 0.090909
143 320 0.500000
143 328 0.250000
143 356 0.500000
143 400 1.000000
143 402 0.500000
143 429 0.333333
143 434 0.333333
143 450 1.000000
143 458 0.200000
143 491 0.142857
143 495 0.250000
143 560 0.100000
143 581 0.250000
143 590 0.333333
143 595 0.166667
143 612 0.250000
4 143 0.027027
130 5 1.000000
130 355 0.500000
130 380 1.000000
130 474 1.000000
130 564 0.500000
130 580 1.000000
130 907 0.142857
5 130 0.142857
6 143 0.027027
6 364 0.011628
364 6 0.500000
364 8 1.000000
364 27 1.000000
364 33 0.500000
364 38 0.333333
364 43 0.500000
364 45 0.250000
364 51 0.250000
364 57 0.250000
364 61 0.250000
364 64 0.333333
364 74 0.142857
364 76 0.200000
364 87 0.500000
364 95 0.250000
364 97 0.333333
364 100 0.333333
364 107 0.500000
364 113 0.125000
364 139 0.333333
364 141 1.000000
364 152 1.000000
364 171 0.200000
364 173 1.000000
364 187 0.333333
364 208 0.058824
364 209 0.083333
364 214 0.166667
364 219 0.500000
364 227 0.333333
364 241 0.250000
364 243 0.142857
364 247 0.500000
364 254 0.500000
364 257 0.083333
364 272 0.333333
364 281 0.500000
364 284 0.200000
364 296 0.200000
364 311 1.000000
364 313 0.500000
364 325 0.500000
364 327 0.250000
364 328 0.250000
364 334 0.500000
364 347 1.000000
364 362 0.333333
364 369 1.000000
364 371 0.333333
364 374 0.125000
364 387 0.500000
364 390 1.000000
364 393 0.333333
364 395 0.500000
364 399 0.500000
364 403 1.000000
364 409 0.500000
364 417 0.083333
364 423 0.333333
364 424 0.333333
364 430 0.500000
