27199 133664
1 2 0.006536
1 3 0.006135
1 13 0.010101
1 15 0.010989
1 23 0.009804
1 25 0.012195
1 26 0.011765
1 30 0.029412
1 34 0.022222
1 35 0.021277
1 40 0.016393
1 42 0.016129
1 46 0.012987
1 50 0.017241
1 60 0.021739
1 99 0.021277
1 102 0.017857
1 123 0.023810
1 163 0.031250
1 175 0.045455
1 198 0.027027
1 217 0.032258
1 237 0.037037
1 243 0.035714
1 244 0.026316
1 255 0.030303
1 259 0.027027
1 282 0.030303
1 284 0.024390
1 312 0.047619
1 367 0.041667
1 375 0.034483
1 394 0.038462
1 442 0.066667
1 448 0.058824
1 471 0.037037
1 517 0.052632
1 548 0.055556
1 611 0.071429
1 615 0.066667
1 631 0.028571
1 645 0.050000
1 690 0.043478
1 703 0.041667
1 759 0.076923
1 766 0.040000
1 786 0.040000
1 831 0.100000
1 844 0.076923
1 907 0.071429
1 935 0.083333
1 936 0.083333
1 957 0.066667
1 976 0.066667
1 1085 0.058824
1 1169 0.083333
1 1205 0.200000
1 1232 0.071429
1 1264 0.111111
1 1281 0.090909
1 1296 0.100000
1 1373 0.076923
1 1380 0.052632
1 1419 0.083333
1 1424 0.142857
1 1443 0.066667
1 1470 0.090909
1 1552 0.052632
1 1639 0.100000
1 1684 0.125000
1 1692 0.071429
1 1828 0.111111
1 1898 0.166667
1 1988 0.142857
1 2048 0.066667
1 2100 0.111111
1 2117 0.200000
1 2147 0.250000
1 2215 0.200000
1 2334 0.100000
1 2364 0.333333
1 2416 0.250000
1 2446 0.062500
1 2576 0.200000
1 2657 0.071429
1 2743 0.125000
1 2754 0.200000
1 2809 0.125000
1 2853 0.100000
1 3068 0.111111
1 3213 0.071429
1 3239 0.111111
1 3653 0.090909
1 3738 0.062500
1 4196 0.111111
1 4199 0.200000
1 4427 0.125000
1 4714 0.055556
1 5143 0.333333
1 5364 0.071429
1 5779 0.200000
1 6134 0.333333
1 6210 0.333333
1 6279 0.142857
1 6295 0.250000
1 6681 0.500000
1 6757 0.333333
1 6922 0.100000
1 7034 0.333333
1 7256 0.250000
1 7333 0.333333
1 7425 0.166667
1 8030 0.200000
1 8433 0.200000
1 8533 0.500000
1 8555 0.125000
1 8690 0.250000
1 9325 0.333333
1 9695 0.100000
1 9989 0.333333
1 10297 0.250000
1 10358 0.200000
1 10762 0.166667
1 10837 0.142857
1 10849 0.250000
1 10913 0.333333
1 11359 0.333333
1 11671 0.250000
1 12048 0.333333
1 12307 0.333333
1 12971 0.250000
1 13572 0.500000
1 13829 0.200000
1 14236 0.250000
1 14305 0.200000
1 15183 0.250000
1 15298 0.200000
1 15760 0.333333
1 16294 0.500000
1 16707 0.333333
1 16866 0.250000
1 17064 0.250000
1 18409 0.250000
1 18567 0.333333
1 18645 0.500000
1 19126 0.333333
1 20895 0.500000
1 21057 0.333333
1 21975 0.500000
1 22398 0.333333
1 23419 0.250000
1 25962 0.100000
1 27819 0.333333
1 28459 0.250000
2 1 0.006494
2 15 0.010989
2 23 0.009804
2 25 0.012195
2 26 0.011765
2 30 0.029412
2 40 0.016393
2 43 0.015625
2 44 0.014925
2 46 0.012987
2 47 0.027027
2 60 0.021739
2 74 0.018868
2 77 0.018182
2 94 0.021739
2 99 0.021277
2 125 0.020833
2 141 0.026316
2 163 0.031250
2 175 0.045455
2 198 0.027027
2 217 0.032258
2 226 0.041667
2 244 0.026316
2 285 0.029412
2 311 0.027778
2 361 0.040000
2 373 0.033333
2 439 0.052632
2 444 0.058824
2 456 0.033333
2 471 0.037037
2 538 0.066667
2 561 0.058824
2 626 0.050000
2 656 0.055556
2 708 0.062500
2 766 0.040000
2 767 0.037037
2 791 0.090909
2 886 0.043478
2 935 0.083333
2 1025 0.142857
2 1029 0.076923
2 1135 0.125000
2 1259 0.052632
2 1296 0.100000
2 1373 0.076923
2 1409 0.045455
2 1581 0.125000
2 1668 0.142857
2 1674 0.052632
2 1692 0.071429
2 1799 0.066667
2 1832 0.090909
2 1855 0.043478
2 2247 0.076923
2 2657 0.071429
2 2733 0.111111
2 2744 0.090909
2 2754 0.200000
2 2852 0.071429
2 2938 0.055556
2 3068 0.111111
2 3153 0.071429
2 3182 0.125000
2 3186 0.066667
2 3216 0.066667
2 3535 0.200000
2 3562 0.142857
2 3593 0.166667
2 3696 0.071429
2 3738 0.062500
2 3835 0.166667
2 3916 0.200000
2 3975 0.083333
2 4196 0.111111
2 4328 0.200000
2 4381 0.250000
2 4576 0.500000
2 4738 0.090909
2 4933 0.142857
2 5230 0.250000
2 5364 0.071429
2 5489 0.166667
2 5499 0.166667
2 5767 0.142857
2 6078 0.076923
2 6108 0.250000
2 6120 0.166667
2 6123 0.200000
2 6419 0.166667
2 7360 0.250000
2 7435 0.166667
2 7547 0.250000
2 7663 0.200000
2 7763 0.142857
2 8103 0.500000
2 8520 0.111111
2 8531 0.083333
2 8555 0.125000
2 9295 0.250000
2 9821 0.200000
2 9826 0.142857
2 9964 0.500000
2 10223 0.125000
2 10289 0.166667
2 10324 0.333333
2 10341 0.125000
2 10404 0.083333
2 10737 0.142857
2 10909 0.333333
2 11985 0.200000
2 12179 0.500000
2 12418 0.250000
2 12604 0.250000
2 13113 0.500000
2 13793 1.000000
2 13880 0.333333
2 13927 0.200000
2 14305 0.200000
2 15246 0.250000
2 15393 0.200000
2 15428 0.333333
2 16130 0.500000
2 16564 0.142857
2 17657 1.000000
2 17681 0.500000
2 18051 0.500000
2 18654 0.142857
2 19019 0.250000
2 19752 0.333333
2 20860 0.142857
2 20889 0.500000
2 21316 0.500000
2 21817 0.142857
2 22145 0.333333
2 22272 0.200000
2 22823 0.090909
2 22901 0.090909
2 23217 0.500000
2 23724 0.500000
2 23892 0.333333
2 24246 0.500000
2 24760 0.200000
2 24965 0.142857
2 25508 0.200000
2 25633 0.500000
2 26482 0.250000
2 27412 0.200000
2 27810 0.500000
2 27827 0.500000
2 28490 0.090909
3 1 0.006494
3 4 0.008929
3 5 0.010417
3 17 0.013699
3 21 0.008547
3 32 0.014493
3 41 0.014706
3 62 0.015152
3 73 0.026316
3 77 0.018182
3 81 0.023810
3 109 0.028571
3 121 0.032258
3 128 0.030303
3 148 0.020000
3 177 0.041667
3 183 0.028571
3 201 0.026316
3 214 0.019608
3 230 0.034483
3 233 0.041667
3 239 0.052632
3 249 0.030303
3 255 0.030303
3 268 0.043478
3 275 0.029412
3 284 0.024390
3 319 0.034483
3 377 0.050000
3 462 0.030303
3 474 0.047619
3 517 0.052632
3 521 0.062500
3 532 0.052632
3 550 0.045455
3 551 0.033333
3 571 0.038462
3 581 0.041667
3 590 0.047619
3 596 0.062500
3 598 0.055556
3 602 0.032258
3 606 0.040000
3 611 0.071429
3 671 0.041667
3 778 0.062500
3 827 0.071429
3 856 0.076923
3 929 0.076923
3 963 0.055556
3 1041 0.071429
3 1159 0.071429
3 1193 0.066667
3 1236 0.083333
3 1329 0.083333
3 1379 0.045455
3 1408 0.090909
3 1449 0.066667
3 1470 0.090909
3 1495 0.066667
3 1533 0.100000
3 1537 0.035714
3 1727 0.142857
3 1843 0.166667
3 1876 0.083333
3 1911 0.055556
3 2061 0.111111
3 2064 0.166667
3 2167 0.100000
3 2282 0.090909
3 2324 0.066667
3 2371 0.166667
3 2405 0.076923
3 2604 0.111111
3 3007 0.111111
3 3092 0.066667
3 3254 0.062500
3 3279 0.090909
3 3422 0.200000
3 3565 0.100000
3 3752 0.200000
3 3784 0.166667
3 3953 0.166667
3 4062 0.142857
3 4098 0.166667
3 4130 0.142857
3 4299 0.125000
3 4572 0.200000
3 4573 0.125000
3 4618 0.142857
