5540 31920
6112 4068 0.090909
6112 3006 0.031250
4068 3006 0.031250
4068 3798 0.000312
4068 2479 0.100000
4068 5353 0.142857
4068 716 0.001255
4068 5989 0.000695
4068 5874 1.000000
3006 2906 0.142857
3006 4809 0.009009
3006 5989 0.000695
3006 3852 0.001751
3006 4280 0.250000
3006 6210 0.166667
3006 1466 0.006024
3006 3492 0.012195
3006 5319 0.010204
3006 3798 0.000312
3006 2479 0.100000
3006 866 0.125000
3006 516 0.500000
3006 4240 0.002439
3006 4520 0.023810
3006 6050 0.003534
3006 716 0.001255
3006 1071 0.005650
3006 2887 0.333333
3006 4251 0.021739
3006 1585 0.005076
3006 2595 0.200000
3006 1250 0.007812
3006 3618 0.001068
3006 1873 0.030303
3006 2492 0.004425
3006 3942 0.027778
2153 1580 0.047619
2153 3363 0.200000
2153 3798 0.000312
2153 2159 0.200000
2153 5989 0.000695
2153 1585 0.005076
2153 3618 0.001068
2153 2677 0.125000
2153 4240 0.002439
2153 3605 0.002088
1580 4814 0.008547
1580 3798 0.000312
1580 4412 0.027027
1580 582 0.023256
1580 4240 0.002439
1580 4973 0.025000
1580 5787 0.015873
1580 6261 0.031250
1580 2159 0.200000
1580 2363 0.090909
1580 5994 0.333333
1580 5989 0.000695
1580 5442 0.021739
1580 4076 0.052632
1580 3571 0.011905
1580 5134 0.019231
1699 3928 1.000000
1699 2145 0.500000
1699 3798 0.000312
1699 1586 0.333333
1699 3650 0.033333
1699 4821 0.023810
1699 5847 0.052632
1699 2607 0.250000
1699 4240 0.002439
1699 3555 0.001038
1699 5630 0.041667
1699 2550 0.008130
1699 1159 0.001761
1699 6045 0.066667
1699 5157 0.500000
1699 2531 0.055556
3928 3605 0.002088
3928 3555 0.001038
3928 6050 0.003534
3928 5630 0.041667
3928 1159 0.001761
3928 6045 0.066667
3928 1429 0.166667
3928 3852 0.001751
3928 6309 0.040000
3928 3798 0.000312
3928 3650 0.033333
3928 4821 0.023810
3928 5847 0.052632
3928 3375 0.500000
3928 4240 0.002439
3363 444 1.000000
3363 3070 0.027027
3363 3798 0.000312
3363 494 0.006410
3363 5989 0.000695
3363 972 1.000000
3363 3060 1.000000
3363 32 0.020833
3798 837 0.005848
3798 16 1.000000
3798 537 0.017857
3798 494 0.006410
3798 3391 0.142857
3798 4712 0.166667
3798 1286 0.040000
3798 3366 0.250000
3798 4892 0.142857
3798 3944 1.000000
3798 4462 0.250000
3798 2196 0.500000
3798 4865 0.125000
3798 1671 0.027027
3798 4809 0.009009
3798 5510 0.125000
3798 4483 1.000000
3798 1266 0.250000
3798 5772 1.000000
3798 3335 0.500000
3798 6268 0.333333
3798 5395 0.200000
3798 4313 0.100000
3798 2597 0.500000
3798 6361 0.022222
